Artist,Song,Lyrics,Charting Number,Genre
Linkin Park,Shadow Of The Day,I close both locks below the window I close both blinds and turn away  Sometimes solutions arent so simple Sometimes goodbyes the only way  And the sun will set for you The sun will set for you  And the shadow of the day Will embrace the world in grey  And the sun will set for you  In cards and flowers on your window Your friends all plead for you to stay  Sometimes beginnings arent so simple Sometimes goodbyes the only way  And the sun will set for you The sun will set for you  And the shadow of the day Will embrace the world in grey  And the sun will set for you  And the shadow of the day Will embrace the world in grey  And the sun will set for you  And the shadow of the day Will embrace the world in grey  And the sun will set for you,55,Rock
Wyclef Jean,Sweetest Girl (Dollar Bill),Niia Ah ah ah ah  Wyclef Jean Lil Wayne Some live for the bill Some kill for the bill She whine for the bill Grind for the bill and she used to be the sweetest girl Some steal for the bill if they got to pay they bill and she used to be the sweetest girl Tonight Wyclef Akon Weezy on the bill  Verse 1 Wyclef Jean High school she was that girl that make me do the hula hoop around the gym Just to get a peek again shes a 10 High school she was That girl that make me do the hula hoop around the gym Just to get a peek again shes a 10 Never thought that she would come and work for the president Mr George Washington where my money at She thought hed call where my money at She had a good day bad day sunny day rainy day All he wanna know is is where my money at Closed legs dont get fed go out there and make my bread All he wanna know is where my money at She ended up in a road car bruised up scarred hard All he wanna know is where my money at She thought hed call where my money at  Chorus Akon x2 See Imma tell you like Wu told me Cash rules everything around me Singin dollar dollar bill yall dollar dollar bill yall Singin dollar dollar bill yall dollar dollar bill yall  Verse 2 Akon Pimpin got harder cause hoes got smarter On the strip is something they dont wanna be a part of Rather be up in the club shakin for a dub Then triple times the money and spending it like they wanna They got they mind on they money money on they mind They got they finger on the trigger hand on the nines See everyday they feel the struggle but staying on they grind And aint nobody takin from us and thats the bottom line  But I know theres a drop in the block You move slow You getting pressure from cops You dont know not to lay low Because 25 to life is no joke To all my real gorillas thuggin On top of corners every day strugglin All the beautiful women getting money Washin them dollar bills like laundry  Chorus Akon x2 Cos Ima tell you like Wu told me Cash rules everything around me Singin dollar dollar bill yall dollar dollar bill yall Singin dollar dollar bill yall dollar dollar bill yall  Bridge Wyclef Jean Money moneymoneymoney Money moneymoneymoney It drives the world crazy  Verse 3 Lil Wayne Niia She used to be Weezy She used to be the sweetest girl  She used to be the sweetest girl ever ever Now she like sour ameretta She wears a dress to the T like the letter And if you make it rain she will be under the weather She used to run track back in high school Now she tricks on the track right by school She takes a loss cos she dont wanna see her child lose So respect her or pay up for the time used And then she runs to the pastor And he tells her there will be a new chapter But she feels no different after And then she asks him where my money at  Chorus Akon x2 Cos Ima tell you like Wu told me Cash rules everything around me Singin dollar dollar bill yall dollar dollar bill yall Singin dollar dollar bill yall dollar dollar bill yall  Outro Wyclef Jean Some live for the bill Some kill for the bill oh where my money at She whine for the bill Grind for the bill oh where my money at Some steal for the bill If they got to pay the bill oh where my money at Tonight Wyclef Akon Weezy on the bill oh were my money at,56,Pop
Ne-Yo,Miss Independent, Young Money  Yea Turn the music up turn the lights down Im in my zone  Yeah yeahyeah yeah yeahyeah yeah yeahyeah yeah  Fresh off the plane konitchiwa bitches Turn around another plane my passport on pivot As for what I did it that asshole done did it Talked it and he lived it spitted then he shitted I dont need to write hits I might bounce ideas But only I could come up with some shit like this I done played the underdog my whole career Ive been a very good sport havent I this year  Like a mama you birthed me Brooklyn you nursed me Schooled me with hard knocks better than Burkley They say you murked me by the time I was 21 That shit disturbed me but you never hurt me Hello Brooklyn if we had a daughter Guess what Im a call her Brooklyn Carter When I left you for Virginia it didnt offend ya Cause you know I only stepped out to get dinner  Ooh its something about Just something about the way she moves I cant figure it out Theres something about her Say Ooh its something about Kinda woman that wants you but dont need you Hey I cant figure it out Theres something about her  Cause she walk like a boss talk like a boss Manicured nails to set the pedicure off Shes fly effortlessly She move like a boss do what a boss Do she got me thinking about getting involved Thats the kind of girl I need  She got her own thing Thats why I love her Miss Independent Wont you come and spend a little time She got her own thing Thats why I love her Miss Independent Ooh the way you shine Miss Independent  Yeah yeahyeah yeah yeahyeah yeah yeahyeah yeah  Ridin by myself well really not really So heavy in the trunk make the car popawheelie Who Weezy Baby or call me Young Baby My money 360 you only 180 Half of the game too lazy Still sleepin on me but Im bout to wake em Yep Im bout to take em to New Orleans and bake em Yeah its hot down here take a walk with Satan yeah Come on mama let The Carter make ya Toss ya like a fruit salad strawberrygrape ya They ball when they can and Im ballin by nature Addicted to the game like Jordan and Payton Yall in a race and me Im at the finish line They running for too long its time to gimme mine Straight down ya chimney in ya living room is I Weezy allergic to wintertime  Yeah yeahyeah yeah yeahyeah yeah yeahyeah yeah  Oooooohhhh She got her own thing Thats why I love her thats why I love Miss Independent independent Wont you come and spend a little time She got her own thing she got she got Thats why I love her thats why I love that girl Miss Independent oh oh Ooh the way you shine Miss Independent,57,R&B
Secondhand Serenade,Fall For You,The best thing about tonights that were not fighting Could it be that we have been this way before I know you dont think that I am trying I know youre wearing thin down to the core  But hold your breath Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Youre impossible to find  This is not what I intended I always swore to you Id never fall apart You always thought that I was stronger I may have failed But I have loved you from the start Oh  But hold your breath Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Its impossible  So breathe in so deep Breathe me in Im yours to keep And hold onto your words Cause talk is cheap And remember me tonight When youre asleep  Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Youre impossible to find,58,Rock
Flo Rida,In The Ayer,Chorus WillIAm x2 Oh hot damn this is my jam Keep me partyin to the AM You all dont understand Make me throw my hands in the ayer ay ayer ayer ay ayer  Verse 1 FloRida Hey this my jam you all dont understand Ill make you understand whats pumping in my CD player player probably all night like yayer yayer Shawty got her hands in the ayer ayer Make me wanna take you dayer There I go here I go here is my song DJ bring it back come in my zone I get paid for them couple bones The next wop until the early morn I need that crunk when Im up in the club Even my when my Chevy pull up on them dubs Give me that drop yellow waist like a drug Little mama hot and she might show me love O hot damn Celebrate to the AM I love it so much it got me saying  Chorus WillIAm  Tiffany Villarreal x2  Verse 2 FloRida Hey hey I might just start the wave Like Im at a ball game do my thang Hands up high I got money in the bank Im so fly 747 pain Rock it no stop it how I got my name Baby keep popping you might get the fame Walk the red carpet wont see you the same I get the stunting forget my name Ride with me Ride with me Represent the city vibe with me Make me throw it up ma timid in the club Go ahead throw it up gotta wonder How much to show enough to stare stare Im hood so its really unfair unfair Shorty go ahead and get bare bare We aint gonna treat our city like the mayor mayor  Chorus WillIAm  Tiffany Villarreal x2  WillIAm Alright now stop oh put your hands in the ayer its a stick a stick up stick up its a stick up just to the ceiling man,59,Rap
John Mayer,Say,Take all of your wasted honor Every little past frustration Take all of your socalled problems Better put em in quotations  Say what you need to say 8x  Walking like a one man army Fighting with the shadows in your head Living out the same old moment Knowing youd be better off instead If you could only     Say what you need to say 8x  Have no fear for giving in Have no fear for giving over Youd better know that in the end Its better to say too much Than never to say what you need to say again  Even if your hands are shaking And your faith is broken Even as the eyes are closing Do it with a heart wide open a wide heart  Say what you need to say 24x,60,Pop
Jordin Sparks,One Step At A Time,Hurry up and wait So close but so far away Everything that youve always dreamed of Close enough for you to taste But you just cant touch  You wanna show the world but no one knows your name yet Wonder when and where and how youre gonna make it You know you can if you get the chance In your face as the door keeps slamming Now youre feeling more and more frustrated And youre getting all kind of impatient waiting We live and we learn to take One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  You believe and you doubt Youre confused you got it all figured out Everything that you always wished for Could be yours should be yours would be yours If they only knew  You wanna show the world but no one knows your name yet Wonder when and where and how youre gonna make it You know you can if you get the chance In your face as the door keeps slamming Now youre feeling more and more frustrated And youre getting all kind of impatient waiting  We live and we learn to take One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  When you cant wait any longer But theres no end in sight when you need to find the strength Its your faith that makes you stronger The only way you get there Is one step at a time  One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time,61,Pop
Rihanna,Hate That I Love You,Thats how much I love you Thats how much I need you And I cant stand you Must everything you do make me wanna smile Can I not like you for awhile No But you wont let me You upset me girl And then you kiss my lips All of a sudden I forget That I was upset Cant remember what you did But I hate it You know exactly what to do So that I cant stay mad at you For too long Thats wrong But I hate it You know exactly how to touch So that I dont want to fuss And fight no more Said I despise that I adore you And I hate how much I love you boy I cant stand how much I need you I need you And I hate how much I love you boy But I just cant let you go And I hate that I love you so And you completely know the power that you have The only one that makes me laugh Said its not fair How you take advantage of the fact That I Love you beyond the reason why And it just aint right And I hate how much I love you girl I cant stand how much I need you And I hate how much I love you girl But I just cant let you go But I hate that I love you so One of these days maybe your magic wont affect me And your kiss wont make me weak But no one in this world knows me the way you know me So youll probably always have a spell on me Thats how much I love you How much I need you Thats how much I need you How much I love you Thats how much I love you How I need you Thats how much I need you I need you And I hate that I love you so And I hate how much I love you boy I cant stand how much I need you cant stand how much I need you And I hate how much I love you boy But I just cant let you go but I just cant let you go no And I hate that I love you so  And I hate that I love you so so,62,R&B
Lupe Fiasco,Superstar,If you are what you say you are a superstar Then have no fear the camera is here And the microphones And they wanna know oh oh oh the return If you are what you say you are a superstar Then have no fear the crowd is here And the lights are on And they want a show oh oh oh yeah Yeah uh a fresh cool young Lu Trying to catch his microphone check 212 Wanna believe my own hype but its too untrue The world brought me to my knees what have you brung you Did you improve on the design did you do something new Well your name aint on the guest list who brung you You the more famous person you come through And the sexy lady next to you you come too And then it hit me standing outside of Heaven Waiting for God to come and get me Im too uncouth Unschooled to the rules and too gumshoe Too much of a newcomer and too uncool Like Shadow and Lavelle I battle with it well Though I need a holiday like lady who sung Blue Go back whatever you did you undo Heavy as heaven the devil on me two tons too If you are what you say you are a superstar Then have no fear the camera is here And the microphones And they wanna know oh oh oh yeah And you better wear your shades The spotlights here can burn holes through the stage Down to the basement past the Indian graves Where the dinosaurs laid Then out through China nearly miss the airliners Magnified times five unless its pointed at the rhymer Ricochets off the moon and sets the forest ablaze Now thats important to say Cause even with all that most of us dont want it to fade We want it to braid Meaning we want it to grow meaning we want it to stay Like the governor called and he told him to wait Unstrap him from the chair and put him back in his cage The audience aint fazed And they aint gonna clap and they aint gonna praise They want everything back that theyve paid Cause theyve been waiting since ten to see the lights get dim If you are what you say you are a superstar Then have no fear the crowd is here And the lights are on And they want a show oh oh oh yeah So chauffeur chauffeur come and take me away Cause Ive been standing in this line for like five whole days Me and security aint getting along And when I got to the front they told me all of the tickets were gone So just take me home where the mood is mellow And the roses are thrown MMs are yellow And the light bulbs around my mirror dont flicker Everybody gets a nice autograph picture One for you and one for your sister Who had to work tonight but is an avid listener Every songs her favorite song and mics dont feedback All the reviewers say You need to go and see that And everybody claps cause everybody is pleased And then they all take the stage and start performing for me Like Ha ha hahaha Ha ha hahaha ha If you are what you say you are a superstar Then have no fear the cameras here And the microphones And they wanna know oh oh oh If you are what you say you are a superstar Then have no fear the crowd is here And the lights are on And they want a show oh oh oh yeah  If you are what you say you are Then have no fear,63,Rap
J. Holiday,Suffocate,Now even though I try to play it off Im thinking about you all day long And I cant wait for shorty to come through From your lips and back up to your eyes My hands on your hips when we grind Im fantasizing bout what Im gonna do to you Got me fiening for her love cant lie Man you should see how she got me Spending all this time with her And I couldnt leave her if I wanted to Her love turns men into fools Tell me what a man is to do  Cause I cant breathe when you talk to me I cant breathe when youre touching me I suffocate when youre away from me So much love you take from me Im going outta my mind I cant breathe when you talk to me I cant breathe when youre touching me I suffocate when youre away from me So much love you take from me Im going outta my mind  Whenever we up in this bed And my fingers fall in your hair I wonder if you feel me watching you Cause I cant go a night without your loving Got me looking at this phone Every time it rings I hope its you girl You got my bracing for your love And I fallen for you I cant lie I just wanna be with you Yes she got me there I said And somebody call the paramedics Tell em to hurry up and come through  Cause I cant breathe when you talk to me cant breathe I cant breathe when youre touching me when you touch me I suffocate when youre away from me So much love you take from me Im going outta my mind Im going outta my mind I cant breathe when you talk to me I cant breathe when youre touching me I suffocate when youre away from me So much love you take from me Im going outta my mind  Dont ever leave me girl I need you inside my world I cant go a day without you And see nobody else will ever do Ill never feel like I feel with you  Cause I cant breathe when you talk to me I cant breathe when youre touching me when you touch me I suffocate when youre away from me So much love you take from me Im going outta my mind Im going outta my mind I cant breathe when you talk to me oh when you talk to me I cant breathe when youre touching me I cant breathe when you touching me I suffocate when youre away from me So much love you take from me Im going outta my mind Im going outta my mind  Oh no no I cant breathe Oh no no I cant breathe I cant breathe Oh no no I cant breathe oh no,64,Rock
Kevin Rudolf,Let It Rock,I see your dirty face Hide behind your collar What is done in vain Truth is hard to swallow  So you pray to God To justify the way You live a lie live a lie live a lie  And you take your time And you do your crime Well you made your bet I made mine  Because when I arrive I Ill bring the fire Make you come alive I can take you higher What this is forgot I must now remind you Let it rock let it rock let it rock  Kevin Rudolph Now the sons disgraced He who knew his father When he cursed his name Turned and chased the dollar But it broke his heart So he stuck his middle finger To the world to the world to the world  And you take your time And you stand in line Well youll get whats yours I got mine  Because when I arrive I Ill bring the fire Make you come alive I can take you higher What this is forgot I must now remind you Let it rock let it rock let it rock  Lil Wayne Yeah Waynes World Planet Rock Panties drop And the tops And she gonna rock til the camera stop And I sing about angels like Angela rock And Pamela rock And Samantha rock And Amanda rock And Tamara rock Mnage ξ moi Im in here like Bitch whats up Mechanic me I can fix you up I can dick you up I can dick you down Shorty we can go wherever just pick a town And the jewelry is louder than an engine sound Bigass rocks like on the ground Dirty like socks thats on the ground Weezy  Because when I arrive I Ill bring the fire Make you come alive I can take you higher What this is forgot I must now remind you Let it rock let it rock let it rock  Because when I arrive I Ill bring the fire Make you come alive I can take you higher What this is forgot I must now remind you Let it rock let it rock let it rock  Just let it rock let it rock let it rock let it rock  Lil Wayne Im back like I forgot something Im something Ruling rock rubbin rap runnin Miles like Im trying to get a flat stomach Like Wayne the personal trainer My aim is perfect Ill bang ya Period like the reminder  Kevin Rudolph I wish I could be As cruel as you And I wish I could say The things you do  But I cant and I wont live a lie No not this time,65,Pop
David Banner,Get Like Me,David Banner Have you ever seen a Chevy with the butterfly dos  IntroChorus Yung Joc Stuntinstuntin is a habit get like me Have you ever seen a Chevy with the getget like me Have you ever seen a Chevy with the get like me Have you ever seen a Chevy with the butterfly dos Stuntinstuntin is a habit put it in the air Stuntinstuntin is a habit put it in the air Stuntinstuntin is a habit put it in the air Have you ever seen a Chevy with the butterfly dos  David Banner Stuntinstuntin is a habit I got a chip in my engine 26 inch rims I got fadeaway money bitch Im ballin out the gym Got my old school pumpin hip wheel on recline If you think a nigga broke you outcha monkeyass mind yeah Diamonds on my pinky yeah hand on the pine Bitch touch and now your momma do the second line yeah Screens fallin from the sky syrup fallin in my cup Old school Chevy thang comin down nigga what Got diamonds in my mouth got some Gucci on my seat Got gs on my ass bitch its cold when I speak Got a freak on my arm got a charm around my neck You can gon pass the mic watch Im bout to catch wreck Still screamin out mayne pistol in my hand Southside so throwed throwed in the game Big face on my chain 84s on the frame Big bodies comin down hoggin up both lanes  Chorus  Chris Brown Stuntinstuntin is a habit The name you know of A little bit of change now your boy done blown up And Im throwin thangs just to get exposed Stuntin aint a thing to me And its obvious its plain to see That you gon make us both Get into some thangs that is for grown folks And they might even say you should leave me alone But dont be scared you need to get like me Stuntin is a habit just gotta have it Shorty can throw anythang at me Im gonna bag it When she see the karats for real just like a rabbit Caint another boy do the things you like He aint your type change your life But if you did your homework girl Im pretty sure you know what I got Drop top singin know Jones and Banner gonna roll Let me stop stuntin is a habit  Chorus  David Banner Stuntinstuntin is a habit Yeah Let them bougie boys ride Maybach Im in the candy laid back like I slang crack My money stack to the ceiling Gettin in my Chevys like climbin up a buildin them 28s on deck 37 on my wrist a hundred five on my neck This rap moneys okay but you should see these movie checks And this cartoon cash the SS so sweet My Bentleys hatin on that ass my old schools gettin pissed She opened up her arm but then she slit both wrists There go the suicide dos wood on the dash Ferris wheels on the toes and got duals on the ass And some chrome on the nose the white boys go SWEET But black folks go OHH I got a llac full of ammo Im brick with the nine throwin bombs out the Lambo The butterflies goin up I got Chad in my heart and DJ Screw in my cup  Chorus  Stuntinstuntin is a habit,66,Rap
Colbie Caillat,Realize,Take time to realize That your warmth is crashing down on in Take time to realize That I am on your side Didnt I didnt I tell you  But I cant spell it out for you No its never gonna be that simple No I cant spell it out for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder if We missed out on each other now  Take time to realize Ohoh Im on your side Didnt I didnt I tell you Take time to realize This all can pass you by Didnt I tell you  But I cant spell it out for you No its never gonna be that simple No I cant spell it out for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder if We missed out on each other but  Its not the same No its never the same If you dont feel it too If you meet me halfway If you would meet me halfway It could be the same for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder Just realize what I just realized If you just realize what I just realized  Oh  Missed out on each other now Missed out on each other now yeah  Realize Realize Realize Realize,67,Pop
Young Jeezy,Put On,I put on I put on I put on I put on for my city on on for my city I put on for my city on on for my city I put on for my city on on for my city I put on for my city on on for my city  Verse 1 Young Jeezy When they see me off in traffic they say Jeezy on some other shit Send them pussy niggas running straight back to the dealership Me Im in my spaceship thats right I work for NASA This 7H is not a fraud call that my bitch my bodyguard Call that bitch your bodyguard Yeah thats my bodyguard Wear a lot of jewelry Young dont so security Whats whiter than a napkin harder than a dinner plate If you want it come and get it you know I stay super straight Ran up in my spots and now Im working out the Super8 Know you niggas hungry come and get a super plate Yall sing happy birthday yeah I got that super cake 100 karat bracelet I use it like some super bait  Chorus 2x Young Jeezy I put on for my city on on for my city I put on for my city on on for my city Put on  Eastside Put on  Southside Put on  Westside Put on Yeah lets go  Young Jeezy Lil Kim Oh yeah I put on You knew it was coming I put on Yo Jeezy whats poppin my G I put on I like this right here thats what I do I put on for my city on on for my city Yeah I put on for my city on on for my city  They want a show Ill give em a show I put on for my city on on for my city  Yeah eastside southside Ill do it like Im doing it for TV baby I put on for my city on on for my city  I put on for every city I go to proceed  Verse 2 Lil Kim Lamborghini name on my luggage and my sports car Jog five miles in my Louis Vuitton sports bra Nigga I aint playing the celebs in the courthouse I show up and show out thats my motto til the day I die Trying to do what I already did Im on some other shit You dont like me Well I dont really give a spit  They dont wanna give it to me dammit Ima take the shit Get money international yall can have them local chips I pops cant duck the barrel I was born and breed thorough If you know me then ya know I put on for my borough Might catch me in Maybach Phantom or the private jet Put on like a billionaire and I aint even got it yet   Chorus Young Jeezy Lil Kim I put on for my city on on for my city What yall gon do when I do get it huh I put on for my city on on for my city Its all over now Put on  Eastside Put on  Southside Put on  Westside Put on Yeah lets go  I put on for my city on on for my city I put on for my city on on for my city Put on  Eastside Put on  Southside Put on  Westside Put on Yeah lets go  I put on I put on I put on I put on for my city I put on for my  I put on for my city I put on for my city on    Verse 3 Kanye West I feel like theres still niggas that owe me checks I feel like theres still bitches that owe me sex  I feel like this but niggas dont know this stress I lost the only girl in the world that know me best I got the money and the fame and that dont mean shit I got the Jesus on the chain man that dont mean shit Cuz when the Jesus pieces cant bring me peace Yo I need this at least uh one of Russells nieces on I let my nightmares go I put on everybody that I knew from the go I know hoes that was frontin when they knew we was broke They say damn Yeezy Yeezy you dont know us no more You got that big fame homey and you just changed on me You can ask Big Homey man the top so lonely I aint lyyiing so lonely I aint lyyyiing Let me see what we have tonight what we have tonight Im high as a satellite satellite I see those flashing lights flashing lights Cuz every night every night  Chorus to fade,68,Rap
David Cook,The Time Of My Life,Ive been waiting for my dreams  To turn into something  I could believe in  And looking for that  Magic rainbow  On the horizon  I couldnt see it  Until I let go  Gave into love and watched all the bitterness burn  Now Im coming alive  Body and soul  And feelin my world start to turn   And Ill taste every moment  And live it out loud  I know this is the time  This is the time  To be more than a name  Or a face in the crowd  I know this is the time  This is the time of my life  Time of my life   Holding onto things that vanished  Into the air  Left me in pieces  But now Im rising from the ashes  Finding my wings  And all that I needed  Was there all along  Within my reach  As close as the beat of my heart   So Ill taste every moment  And live it out loud  I know this is the time  This is the time to be  More than a name  Or a face in the crowd  I know this is the time  This is the time of my life  Time of my life   And Im out on the edge of forever  Ready to run  Im keeping my feet on the ground  My arms open wide  My face to the sun   Ill taste every moment  And live it out loud  I know this is the time  This is the time to be  More than a name  Or a face in the crowd  I know this is the time  This is the time of my life  Time of my life  More than a name  Or a face in the crowd  This is the time  This is the time of my life  This is the time of my life,69,Rock
Three 6 Mafia,Lolli Lolli (Pop That Body),Intro Yup Three 6 Mafia Featuring Project Pat young D lets go  Chorus Lolli lolli lolli lolli let me see you pop that body Lolli lolli lolli lolli let me see you pop that body Chocolate lolli cherry lolli Nilla lolli pink lolli Red hot red hot Red hot hot Let that lolli pop  oooooooh let that lolli pop  oooooooh Let that lolli pop  oooooooh let that lolli pop  oooooooh  Verse 1 Now lawdy lawdy lawdy lawdy please Lord have some mercy mercy This girl is throwin Judy Judy I think she bout to hurt me hurt me See she went front to back back then she went side to side side Im throwing blanky jankies jankies I think I need a ride ride One pocket full of pills pills and a little bag of that cola cola The other one full of weed weed and a semi auto pistola tola See I aint no dancin dude dude but I can lean like a cholo cholo See ma you go with me cause I cant beat not goin home solo solo Ya dig  Chorus  Verse 2 They call me the Juice when Im at strip club I put down a hundred or a duuhuhuhhhb It dont matter to a player Im a stuuhuhuhhhd Cause when I leave the club Ima fuuhuhuhhhck You can ride with the mayne if he givin up the brain Little scared to ride witcha I dont even know your name Theres a whole lotta room in the front of the Range Like Barack Obama said yeah its time for a change Pull over on the roll on the back seat back seat Pop that body now you got me got me You a fine chick kinda classy classy Said her name was Ten now Im grabbin grabbin Cuz she got grip on the whip With her big round booty with the silicone tits Shit she bouncin on my lap and she tryin to own six I whispered in her ear Yeah Its Hard For a Pimp  Chorus  Verse 3 All my ladies with a body put yo hands in the URR Youse a good lookin hottie put yo hands in the URR Project Pat lookin for a model poppin that booty Ima pop bottles Your girls a cutie know she gargles dont get me wrong I keep them hollows Shorty hot watch her rock let me see that lolli pop Body rock dont you stop I love the way that booty drop Sideways front back up and down I like that Cherry lolli chocolate lolli I wanna see you pop that lolli  Chorus,70,Rap
Baby Bash,Cyclone,Oh oh oh its fud a dud a nine  She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone Just like a cyclone She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone A mighty cyclone  I look at that double on the back a that bumper She aint even playing when shes shaking that rumpa And oh you aint know She gets lower than a muffla Even wit her girl friends Show stopping with a hustler The way she move her body She might see the Maserati She wanna put it on me Trying to show me her tsunami She make it hard to copy Always tight and never sloppy And got an onturage And her own paparazzi Now there she go again Riding through the stormy weather You better button up if you wanna go getta Cause it is what it is And everybody wanna love her But when she pop it boy you better run for cover  She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone Just like a cyclone She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone A mighty cyclone  Its a wrap When she  breaks them boys of a typhoon Its a wrap Better get that fatty like a boss tycoon Its a wrap Now hold it steady cause she make a monsoon its a wrap Now you can Google download the  iTunes She what Im saying She aint playing And she got them heads turning You gonna her it clackclack When them heals get to burning clackclack Stiletto so fuego She got her own label And got us all doing the tornado  She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone Just like a cyclone She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone A mighty cyclone  Shortie got looks And shortie got class Shortie got hips And shortie got ass Plus she hit the stage She drop it down low like rew rew rew rew rew rew rew rew Ah this is crazy Its amazing She must be the way to the ladies She be looking like rew rew rew rew rew rew rew rew  She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone Just like a cyclone She moves her body like a cyclone And she makes me want to do it all night long Going hard when they turn the spotlights on Because she moves her body like a cyclone A mighty cyclone  rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew rew Oh,71,Rap
Natasha Bedingfield,Love Like This, Oh Never find a love like this Oh Never find a love like this  We go back so far swinging in your back yard all the things that we used to do We were cool back in high school ooh I really liked you must have been your attitude  Thats why you keep on running in and out of my mind As the years theyll roll by Baby now I know why I keep coming back to you Youre the only one that knows me love it when you hold me never find a love like this Let me hear you say now Ill never be lonely look at what youve shown me never find a love like this  Well this life tried to keep us apart you keep calling me back to your heart Let me hear you say Im so glad you found me wrap your world around me never find a love like this  All the guys tried to take me youre the one who saved me I feel like I owe you my life And as strange as it may seem Ill go if you take me Im willing to sacrifice  Chorus  cause this life tried to keep us apart you keep calling me back to your heart Let me hear you say arent you glad you found me wrap you all around me never find a love like this  May never find a love love love a love like this that still make me think about my middle school kiss I sit here in this chair and I wish for you not to leave me now My friends they always told me not to make you my wife man they was putting you down And now they see we rolling me and you we strolling they dont wanna come around  Let me hear you say youre the only one that knows me love it when you hold me never find a love like this Let me hear you say now Ill never be lonely look at what youve shown me never find a love like this  When this life tries to keep us apart you keep calling me back to your heart Let me hear you say Im so glad you found me wrap you all around me never find a love like this  Oh Never find a love like this When this life tried to keep us apart you keep calling me back to your heart Let me hear you say Oh Never find a love like this Oh Never find a love like this,72,R&B
Jonas Brothers,Burnin' Up,Im hot Youre cold You go around Like you know Who I am But you dont Youve got me on my toes Im slipping into the lava And Im tryin to keep from going under Baby who turned the temperature hotter Cause Im burning up burning up For you baby Come on girl  I fell I fell So fast so fast Cant hold myself Back High heels high heels Red dress red dress All by yourself I gotta catch my breath Im slipping into the lava And Im tryin to keep from going under Who turned the temperature hotter Cause Im burning up burning up For you baby  Walk in the room All I can see is you Youre staring at me Oh I can feel it too Im slipping into the lava And Im tryin to keep from going under Who turned the temperature hotter Cause Im burning up burning up For you baby,73,Pop
Kanye West,Love Lockdown,Im not loving you way I wanted to What I had to do had to run from you Im in love with you but the vibe is wrong And that haunted me all the way home So you never know never never know Never know enough til its over love Til we lose control SYSTEM OVERLOAD Screaming No no no nno Im not loving you way I wanted to See I wanna move but cant escape from you So I keep it low keep a secret code So everybody else dont have to know  So keep your love lockdown Your love lockdown Keeping your love lockdown Your love lockdown Now keep your love lockdown Your love lockdown Now keep your love lockdown You lose  Im not loving you way I wanted to I cant keep my cool so I keep it true I got something to lose so I gotta move I cant keep myself and still keep you too So I keep in mind when Im on my own Somewhere far from home in the danger zone How many times did I tell you fore it finally got through You lose you lose Im not loving you the way I wanted to See I had to go see I had to move No more wasting time you cant wait for life Were just racing time wheres the finish line  So keep your love lockdown Your love lockdown Keeping your love lockdown Your love lockdown Now keep your love lockdown Your love lockdown Now keep your love lockdown You lose  Im not loving you way I wanted to I bet no one knew I got no one new Know I said Im through but got love for you But Im not loving you the way I wanted to Gotta keep it going keep the loving going Keep it on the roll only God knows If I be with you baby Im confused You choose you choose Im not loving you way I wanted to Where I wanna go I dont need you Ive been down this road too many times before Im not loving you way I wanted to  So keep your love lockdown Your love lockdown Keeping your love lockdown Your love lockdown Now keep your love lockdown Your love lockdown Now keep your love lockdown You lose You lose You lose You lose You lose,74,Pop
