Artist,Song,Lyrics,Genre,Year,Rank
Colbie Caillat,Realize,Take time to realize That your warmth is crashing down on in Take time to realize That I am on your side Didnt I didnt I tell you  But I cant spell it out for you No its never gonna be that simple No I cant spell it out for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder if We missed out on each other now  Take time to realize Ohoh Im on your side Didnt I didnt I tell you Take time to realize This all can pass you by Didnt I tell you  But I cant spell it out for you No its never gonna be that simple No I cant spell it out for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder if We missed out on each other but  Its not the same No its never the same If you dont feel it too If you meet me halfway If you would meet me halfway It could be the same for you If you just realize what I just realized Then wed be perfect for each other And well never find another Just realize what I just realized Wed never have to wonder Just realize what I just realized If you just realize what I just realized  Oh  Missed out on each other now Missed out on each other now yeah  Realize Realize Realize Realize,pop,2008,40
James Otto,"Just Got Started Lovin' You
",You dont have to go now honey Call and tell em you wont be in today Baby there aint nothin at the office So important it cant wait Im thankful for the weekend But two days in heaven just aint gonna do This is gonna take forever darlin Girl I just got started lovin you  Whats the point in fightin what were feelin We both know well never win Aint this what were missin Lets just stop all this resistin and give in Let me wrap my arms around you You know you dont want to leave this room Come back and let me hold you darlin Girl I just got started lovin you  What can I say Ive never felt this way Girl youre like a dream come true After all the love weve made It sure would be a shame If we let this moment end so soon  So wont you lay back down beside me Girl just like I know youre wantin to Trust me when I tell you darlin Girl I just got started lovin you  What can I say Ive never felt this way Girl youre like a dream come true After all the love weve made It sure would be a shame If we let this moment end so soon  Im thankful for the weekend But two days in heaven just aint gonna do This is gonna take forever darlin Girl I just got started lovin you Come back and let me hold you darlin Girl I just got started lovin you,country,2008,1
George Strait,I Saw God Today,Just walked down the street to the coffee shop Had to take a break Ive been by her side for eighteen hours straight Saw a flower growing in the middle of the sidewalk Pushing up through the concrete Like it was planted right there for me to see  The flashing lights The honking horns All seem to fade away In the shadow of the hospital At 508 I saw God today  Ive been to church Ive read the book I know Hes here But I dont look Near as often as I should Yeah I know I should  His fingerprints are everywhere I just look down and stop and stare Open my eyes and then I swear I Saw God Today  Saw a couple walking by They were holding hands Man she had that glow Ya I couldnt help But I noticed that she was starting to show Stood there for a minute Taking in the sky Lost in that sunset A splashing down from mounting in shades of red  Ive been to church Ive read the book I know Hes here But I dont look Near as often as I should Yeah I know I should  His fingerprints are everywhere I just look down and stop and stare Open my eyes and then I swear I Saw God Today  Got my face pressed up against the nursery glass Shes sleeping like a rock My name on her wrist Wearing tiny pink socks Shes got my nose Shes got her Mamas eyes My bran new baby girl Shes a miracle I Saw God Today,country,2008,2
Alan Jackson,Small Town Southern Man,Born the middle son of a farmer And a small town Southern man Like his daddys daddy before him Brought up workin on the land Fell in love with a small town woman And they married up and settled down Natural way of life if youre lucky For a small town Southern man  First there came four pretty daughters For this small town Southern man Then a few years later came another A boy he wasnt planned Seven people livin all together In a house built with his own hands Little words with love and understandin From a small town Southern man  And he bowed his head to Jesus And he stood for Uncle Sam And he only loved one woman He was always proud of what he had He said his greatest contribution Is the ones you leave behind Raised on the ways and gentle kindness Of a small town Southern man Raised on the ways and gentle kindness Of a small town Southern man  Callous hands told the story For this small town Southern man He gave it all to keep it all together And keep his family on his land Like his daddy years wore out his body Made it hard just to walk and stand You can break the back But you cant break the spirit Of a small town Southern man  Repeat Chorus  Finally death came callin For this small town Southern man He said its alright cause I see angels And they got me by the hand Dont you cry and dont you worry Im blessed and I know I am Cause God has a place in Heaven For a small town Southern man  Repeat Chorus,country,2008,3
Darius Rucker,Don't Think I Don't Think About It,I left out in a cloud of tail lights and dust Swore I wasnt comin back Said Id had enough  Saw you in the rearview standin Fadin from my life But I wasnt turnin round No not this time  But dont think I dont think about it Dont think I dont have regrets Dont think it dont get to me Between the work and the hurt and the whiskey  Dont think I dont wonder bout Couldve been shouldve been all worked out I know what I felt and I know what I said But dont think I dont think about it  When we make choices we gotta live with them Heard ya found a real good man and ya married him I wonder sometimes if I cross your mind Where would we be today If I never drove that car away  But dont think I dont think about it Dont think I dont have regrets Dont think it dont get to me Between the work and the hurt and the whiskey  Dont think I dont wonder bout Couldve been shouldve been all worked out Yeah I know what I felt and I know what I said But dont think I dont think about it  Dont think I dont think about it  Dont think I dont think about it Dont think I dont have regrets Dont think you dont get to me Between the work and the hurt and the whiskey  Dont think I dont wonder bout Couldve been shouldve been all worked out I know what I felt and I know what I said But dont think I dont think about it  No no  Dont think I dont  Dont think I dont Mmmmmhhhhmmm,country,2008,4
Blake Shelton,Home,Another summer day has come and gone away In Paris and Rome But I want to go home  May be surrounded by a million people I Still feel all alone I want to go home Oh I miss you you know  And Ive been keeping all the letters That I wrote to you Each one a line or two Im fine baby how are you  I would send em but I know That its just not enough My words were cold and flat And you deserve more than that  Another airplane another sunny place Im lucky I know but I wanna go home Ive got to go home  Let me go home Im just too far from where you are I want to come home  And I feel just like Im living someone elses life Its like I just stepped outside When everything was going right  And I know just why You could not come along with me This was not your dream But you always believed in me  Another winter day has come and gone away In even Paris and Rome And I wanna go home Let me go home  And Im surrounded by a million people I Still feel alone and I want to go home Oh I miss you you know  Let me go home Ive had my run Baby Im done Im coming back home Let me go home  Itll all be alright Ill be home tonight Im coming back home,country,2008,5
Phil Vassar,Love Is A Beautiful Thing,Looks like everybodys here Had to put some folding chairs in the vestibule Yeah its gettin full Even old Aunt Ruby came Her first time on an airplane Its her sisters girl She wouldnt miss it for the world And all them kids jumpin in the pew And Mr Charlie in his limegreen suit is a handsome man Remarks widow Callahan Uncle Joe and Uncle Jake Havent spoken since 98 just said Hello Its a good day to let it go  So let the angels gather Let the music play Let the preacher get to preachin all the do you takes Love is a beautiful thing Throw the rice in the air Let the church bells ring Tie the cans to the back of that limousine Love is a beautiful thing  Daddys waiting with the bride As she helps him with his tie she sees a tear He says Man its hot in here He hugs his little girl and asks How did you grow up so fast God I wish Your momma could be here for this And everybody stands and smiles As she comes walkin down the aisle in her mommas gown And daddy breaks on down Gran and gramps in the second row Stood right there 50 years ago And said their vows Yeah I guess thats working out  So let the angels gather Let the music play Let the preacher get to preachin all the do you takes Love is a beautiful thing Throw the rice in the air Let the church bells ring Tie the cans to the back of that limousine Love is a beautiful thing  A little table full of gifts Catering is cover dish and the wedding band Well thats on her hand Tommys teasing Lorali He pushed her down He made her cry And neither one knows the day will come  When the angels gather And the music plays And the preacher get to preachin all the do you takes Love is a beautiful thing Throw the rice in the air Let the church bells ring Tie the cans to the back of that limousine Love two people in love is a beautiful thing,country,2008,6
Trace Adkins,You're Gonna Miss This,She was staring out that window of that SUV Complaining saying I cant wait to turn 18 She said Ill make my own money and Ill make my own rules Mamma put the car in park out there in front of the school Then she kissed her head and said I was just like you  Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around You may not know it now  But youre gonna miss this  Before she knows it shes a brand new bride In a onebedroom apartment and her daddy stops by He tells her Its a nice place She says Itll do for now Starts talking about babies and buying a house Daddy shakes his head and says Baby just slow down  Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around You may not know it now  But youre gonna miss this  Five years later theres a plumber workin on the water heater Dogs barkin phones ringin One kids cryin one kids screamin She keeps apologizin He says They dont bother me  Ive got 2 babies of my own  Ones 36 ones 23 Huh its hard to believe but   Chorus Youre gonna miss this Youre gonna want this back Youre gonna wish these days hadnt gone by so fast These Are Some Good Times So take a good look around  You may not know it now  But youre gonna miss this Youre gonna miss this Yeah youre gonna miss this,country,2008,7
Keith Anderson,I Still Miss You,Ive changed the presets to my truck So those old songs dont sneak up But they still find me And remind me Yeah you come back that easy Ive tries restaurants Ive never been to Ordered new things off the menu That i never tried Cause you didnt like but two drinks in and youre by my side  Ive talked to friends Talked to myself Talked to god I prayed like hell But i still miss you I tried sober I tried drinkin Ive been strong and Ive been weak But I still miss you Ive done everything move on like Im supposed to Id give anything for one more minute with you I still miss you I still miss you baby  I never knew til you were gone How many pages you were on It never ends I keep turning And line after line and you are there again I dont know how to let you go You are so deep down in my soul I feel helpless so hopeless Its a door that never closes No I dont know how to do this  Chorus  Ive talked to friends Ive talked to myself Ive talked to God I prayed liked hell but I still miss you I tried sober I tried drinking Ive been strong and Ive been weak And I still miss you Ive done everything Move on like Im supposed to Id give anything for one more minute with you I still miss you yeah  I still miss you I still miss you yeah yeah,country,2008,8
Rodney Atkins, Cleaning This Gun (Come On In Boy),The Declaration Of Independence Think I can tell you that first sentence But then Im lost  I cant begin to count the theories Ive had pounded in my head that I forgot  I dont remember all that Spanish Or the Gettysburg address But there is one speech from high school Ill never forget  Come on in boy sit on down And tell me bout yourself So you like my daughter do you now Yeah we think shes something else Shes her daddys girl her mamas world She deserves respect Thats what shell get Aint it son Now yall run along and have some fun  Ill see you when you get back Bet Ill be up all night Still cleaning this gun  Well now that Im a father Im scared to death one day my daughter Is gonna find That teenage boy I used to be Who seems to have just one thing on his mind  Shes growing up so fast It wont be long Before Ill have to put the fear of God Into some kid at the door  Yeah come on in boy sit on down And tell me bout yourself So you like my daughter do you now Yeah we think shes something else  Shes her daddys girl her mamas world She deserves respect Thats what shell get Now aint it son Now yall go out and have some fun  Ill see you when you get back Probably be up all night Still cleaning this gun  Now its all for show Aint nobody gonna get hurt Its just a daddy thing andhey believe me manit works  Yeah come on in boy sit on down And tell me bout yourself So you like my daughter do you now Yeah we think shes something else  Shes her daddys girl her mamas world She deserves respect Thats what shell get Aint it son Yall run along and have a little fun  Ill see you when you get back Probably be up all night Still cleaning this gun  Eh son now yall buckle up and have her back by tenawlets say about ninethirty Drive safe,country,2008,9
Brad Paisley,I'm Still A Guy,When you see a deer you see Bambi And I see antlers up on the wall When you see a lake you think picnic And I see a large mouth up under that log Youre probably thinking that youre going to change me In some ways well maybe you might Scrub me down dress me up but no matter what Im still a guy  When you see a priceless French painting I see a drunk naked girl You think that riding a wild bull sounds crazy And Id like to give it a whirl Well love makes a man do some things he aint proud of And in a weak moment I might walk your sissy dog hold your purse at the mall But remember Im still a guy  Ill pour out my heart Hold your hand in the car Write a love song that makes you cry Then turn right around knock some jerk to the ground Cause he copped a feel as you walked by  I can hear you now talking to your friends Saying Yeah girls hes come a long way From dragging his knuckles and carrying a club  And building a fire in a cave But when you say a backrub means only a backrub Then you swat my hand when I try Well what can I say at the end of the day Honey Im still a guy  Ill pour out my heart Hold your hand in the car Write a love song that makes you cry Then turn right around knock some jerk to the ground Cause he copped a feel as you walked by  These days theres dudes getting facials Manicured waxed and botoxed With deep sprayon tans and creamy lotiony hands You cant grip a tacklebox  With all of these men lining up to get neutered Its hip now to be feminized I dont highlight my hair Ive still got a pair Yeah honey Im still a guy  Oh my eyebrows aint plucked Theres a gun in my truck Oh thank God Im still a guy,country,2008,10
Toby Keith,She Never Cried In Front Of Me,Seven Thirtyfive Shes someone elses wife I can get on with my life And that thrills me  She married him today Her daddy gave the bride away I heard a tear roll down her face And that kills me  Cause now I Can see why Shes finally cryin  Chorus How was I supposed to know She was slowly letting go If I was puttin her through her hell Hell I couldnt tell  She couldve given me a sign Couldve opened up my eyes How was I supposed to see She never cried in front of me  Yea maybe I mightve changed Its hard for me to say But the storys still the same Its a sad one  And Ill always believe If she ever did cry for me They were tears that you cant see You know the bad ones  And now I Can see why Shes finally cryin  Chorus How was I supposed to know She was slowly letting go If I was puttin her through her hell Hell I couldnt tell  She couldve given me a sign Couldve opened up my eyes How was I supposed to see She never cried in front of me  With out a doubt  I know now How it outta be  Now shes gone And its wrong  And it bothers me Tomorrow Ill still be Askin myself  Chorus How was I supposed to know She was slowly letting go If I was puttin her through her hell Hell I couldnt tell  She couldve given me a sign Couldve opened up my eyes How was I supposed to see  How was I supposed to see She never cried in front of me  Hell I couldnt tell,country,2008,11
Alan Jackson,Good Time,Work work all week long Punchin that clock from dusk till dawn Countin the days till Friday night Thats when all the conditions are right For a good time I need a good time  Yea Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  I cashed my check cleaned my truck Put on my hat forgot about work Sun goin down head across town Pick up my baby and turn it around Good time Aahh I need a good time  Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Time for a good time  HEY  Pig in the ground beer on ice Just like ole Hank taught us about Singin along Bocephus songs Rowdy friends all night long Good time Lord were having a good time  Yea Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Whew  Heel toe dosey doe Scootin our boots swingin doors B  D Kix and Dunn Honkin tonk heaven Double shotgun Good time Lord were havin a good time  Cause Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Shot of Tequila beer on tap Sweet southern woman set on my lap G with an O O with a D T with an I and an M and an E And a good time Shhheww good time Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Ahh turn it up now  A Shot of Tequila Beer on tap A good looking woman To set on my lap  A G with an O an O with a D A T with an I an M with an E That spells good time A good time  Ohh Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Time for a good time  Twelve oclock two oclock three oclock four Five oclock we know were thats gonna go Closing the door shuttin em down Head for that Waffle House way across town Good time Ohh were havin a good time Ohh Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Ohh Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Ohh Ive been workin all week And Im tired and I dont wanna sleep I wanna have fun Its time for a good time  Ohh yea a good time  I need a good time  Yea a good time,country,2008,12
Jimmy Wayne,Do You Believe Me Now,Do you remember The day I turned to you and said I didnt like the way he was looking at you Yeah How he made you laugh You just couldnt get what I was saying It was my imagination  Chorus So do you believe me now I guess I really wasnt that crazy And I knew what I was talking bout Every time the sun goes down Hes the one thats holding you baby Yeah me Im missin you way across town So do you believe me now Im kicking myself For being the one foolish enough giving him the chance to step in my shoes Ohhh He was bidin his time When he saw our love was having a moment of weakness He was there between us  Chorus So do you believe me now I guess I really wasnt that crazy And I knew what I was talking bout Every time the sun goes down Hes the one thats holding you baby Yeah me Im missin you way across town So do you believe me now Oh yeah I bet now you see the light Oh yeah whats the use in being right Were not the lonely one tonight  Chorus So do you believe me now I guess I really wasnt that crazy And I knew what I was talking bout Every time the sun goes down Hes the one thats holding you baby Yeah me Im missin you way across town So do you believe me now Yeah So do you believe me now Yeah Every time the sun goes down Hes the one thats holding you baby Yeah me Im missin you way across town So do you believe me now,country,2008,13
Chris Cagle,What Kinda Gone,I heard the door slam  And I couldnt tell  Was it just the wind  Or was she mad again  Ah hell shes gettin in her car I hallard baby is there somethin wrong Thought I heard her say something Sounded like Im gone But these days gone can mean so many things  Well theres gone for good and theres good and gone Then theres gone with the long before it I wish shed been just a little more clear Theres gone for the day and gone for the night Gone for the rest of your doggone life Is it whiskey night or just a couple of beers I mean what kinda gone are we talkin bout here  Well its gettin dark out she aint back yet Aint called home Turned off the phone Ah man this mighta not be good Would have stopped her when she went to leave  But I didnt cause I didnt really think what Im thinkin now Still not sure what gone is all about  Cause theres gone for good  And theres good and gone And theres gone with the long before it I wish shed been just a little more clear Well theres gone for the day and gone for the night And gone for the rest of your doggone life Is it whiskey night or just a couple of beers I mean what kinda gone are we talkin bout here  Is it the kinda gone shes at her moms coolin down shell come around Or the kind that says you had your chance she aint comin back  Well theres gone for good  And theres good and gone And theres gone with the long before it I wish shed been just a little more clear Well theres gone for the day and gone for the night And gone for the rest of your doggone life Is it whiskey night or just a couple of beers I mean what kinda gone are we talkin bout what kinda gone are we talkin bout What kinda gone are we talkin bout here What kinda gone,country,2008,14
Kenny Chesney,Everybody Wants To Go To Heaven,Preacher told me last Sunday mornin Son you better start livin right You need to quit the women and whiskey And carrying on all night  Dont you wanna hear him call your name When youre standin at the pearly gates I told the preacher Yes I do But I hope they dont call today I aint ready  Everybody wants to go to heaven Have a mansion high above the clouds Everybody want to go to heaven But nobody want to go now  Said preacher maybe you didnt see me Throw an extra twenty in the plate Theres one for everything I did last night And one to get me through today Heres a ten to help you remember Next time you got the good Lords ear Say Im comin but there aint no hurry Im havin fun down here Dont you know that  Everybody wants to go to heaven Get their wings and fly around Everybody want to go to heaven But nobody want to go now  Someday I want to see those streets of gold in my halo But I wouldnt mind waiting at least a hundred years or so  Everybody wanna go to heaven It beats the other place there aint no doubt Everybody wanna go to heaven But nobody wanna go now  Everybody wanna go to heaven Hallelujah let me hear you shout Everybody wanna go to heaven But nobody wanna go now I think I speak for the crowd,country,2008,15
Carrie Underwood,Just A Dream,It was two weeks after the day she turned eighteen All dressed in white Going to the church that night She had his box of letters in the passenger seat Sixpence in a shoe something borrowed something blue And when the church doors opened up wide She put her veil down Trying to hide the tears Oh she just couldnt believe it She heard the trumpets from the military band And the flowers fell out of her hand  Baby whyd you leave me Whyd you have to go I was counting on forever now Ill never know I cant even breathe Its like Im looking from a distance Standing in the background Everybodys saying Hes not coming home now This cant be happening to me This is just a dream  The preacher man said Let us bow our heads and pray Lord please lift his soul and heal this hurt Then the congregation all stood up and sang the saddest song that she ever heard Then they handed her a folded up flag And she held on to all she had left of him Oh and what could have been And then the guns rang one last shot And it felt like a bullet in her heart  Baby whyd you leave me Whyd you have to go I was counting on forever now Ill never know I cant even breathe Its like Im looking from a distance Standing in the background Everybodys saying Hes not coming home now This cant be happening to me This is just a dream  Oh Baby whyd you leave me Whyd you have to go I was counting on forever now Ill never know Oh Ill never know Its like Im looking from a distance Standing in the background Everybodys saying Hes not coming home now This cant be happening to me This is just a dream  Oh this is just a dream Just a dream Yeah yeah,country,2008,16
Keith Urban,You Look Good In My Shirt,When you walked up behind me and covered my eyes  And whispered in my ear guess who I rattled off names like I really didnt know But all along I knew it was you  And the longer we talked the more we laughed And wondered why we didnt last  It had been a long time but later last night Baby we caught up real fast  And maybe its a little too early To know if this is gonna work All I know is youre sure looking Good in my shirt Thats right You look good in my shirt  Well now Im not saying that we solved overnight Every way that we went wrong Oh but what Im seeing Id sure love seeing Every morning from now on  And maybe its a little too early To know if this is gonna work All I know is youre sure looking Good in my shirt  Cmon now Aww thats right Oh you look so fine  And maybe its a little too early To know if this is gonna work All I know is youre sure looking Good in my shirt   And maybe its a little too early To know if this is gonna work All I know is youre sure looking Good in my shirt You look good in my shirt You look good in my shirt,country,2008,17
Lady Antebellum,Love Don't Live Here,Well this heart of mine has been hardened like a stone It might take some time to get back what is gone But Im movin on and you dont haunt my dreams Like you did before oh when I would curse your name  Well I heard the news that you were back in town Just passin through to claim your lost and found But Im over you and there aint nothin that You could say or do to take what you did back Well you got nerve to waltz right in And think whats mine is yours again  Chorus Cause Ive been doin fine without you Forgettin all the love we once knew And girl I aint the one who slammed that door But now you say youve changed your thinkin But I aint got a heart for breakin So go and pick your bags up off my floor Oh cause love dont live here anymore  Well baby you can try to tell me how it is And try to justify everything you did But honey Im no fool and oh Ive been down this road Too many times with you I think its best you go Well I got one thing left to say Is you can lay in the bed youve made  Repeat Chorus  Oh no that love dont live here anymore Oh no no Sugar no no And you dont live here anymore Love dont live here anymore And since you walked out of my door Love dont live here Love dont live here girl Oh love dont live here anymore,country,2008,18
Brad Paisley,Waitin' On A Woman,Sittin on a bench at West Town Mall  He sat down in his overalls and asked me You waitin on a woman I nodded yeah and said how bout you He said son since nineteen fiftytwo Ive been Waitin on a woman  When I picked her up for our first date I told her Id be there at eight And she came down the stairs at eightthirty She said Im sorry that I took so long Didnt like a thing that I tried on But let me tell you son she sure looked pretty Yeah shell take her time but I dont mind Waitin on a woman  He said the wedding took a year to plan You talk about an anxious man I was nervous Waitin on a woman And then he nudged my arm like old men do And said Ill say this about the honeymoon it was worth it Waitin on a woman  And I dont guess weve been anywhere She hasnt made us late I swear Sometimes she does it just cause she can do it Boy its just a fact of life Itll be the same with your young wife Might as well go on and get used to it Shell take her time cause you dont mind Waitin on a woman  Ive read somewhere statistics show The mans always the first to go And that makes sense cause I know she wont be ready So when it finally comes my time And I get to the other side Ill find myself a bench if theyve got any I hope she takes her time cause I dont mind Waitin on a woman  Honey take your time cause I dont mind Waitin on a woman,country,2008,19
Rascal Flatts,Every Day,You couldve bowed out gracefully But you didnt You knew enough to know To leave well enough alone But you wouldnt I drive myself crazy Tryin to stay out of my own way The messes that I make But my secrets are so safe The only one who gets me Yeah you get me Its amazing to me  CHORUS How every day Every day every day You save my life  I come around all broken down and Crowded out And youre comfort Sometimes the place I go  Is so deep and dark and desperate I dont know I dont know  Repeat Chorus  Sometimes I swear I dont know if  Im comin or goin But you always say something Without even knowin That Im hangin on to your words With all of my might and its alright Yeah Im alright for one more night Every day Every day every day every day Every day every day You save me you save me oh oh oh Every day Every every every day  Every day you save my life,country,2008,20
Montgomery Gentry,Back When I Knew It All,At the ripe old age of nineteen I bought a short bed pick up chicks machine Life ran on beer and gasoline A half a lap ahead of the law I had a fake I d that got me into tuffies Love was a word I used to get lucky Was a big time spender with that plastic money Back when I knew it all  Chorus Back when the world was flat and mama and daddy didnt have a clue That was back Back when a pitcher of beer and a couple shots made me bulletproof Back when god was a name I used in vain to get a point across when  I got ticked off Lord Im learning so much morethan back when I knew it all  I found out credit cards dont mean youre rich And beer and gasoline dont mix Yeah step side trucks cant jump a ditch And those  big house rooms sure are small Ive learned that love is a woman that will settle you down A sunday sermon can turn life around Man I cant believe all the answers Ive found Since back when I knew it all  Chorus  Br Ive done some growing up And Im still growing up So I know Ill never be as smart as I once was That was back  Chorus,country,2008,21
Rascal Flatts,Winner At A Losing Game,Baby look here at me Have you ever seen me this way Ive been fumblin for words Through the tears and the hurt and the Pain Im gonna lay it all out On the line tonight And I think that its time To tell this uphill fight goodbye  Have you ever had to love someone That just dont feel the same Tryin to make somebody care for you The way I do Is like tryin to catch the rain And if love is really forever Im a winner at a losin game  I know that baby you tried To find me somewhere inside of you But you know you cant lie Girl you cant hide the truth Sometimes two hearts Just cant dance to the same beat So Ill pack up my things And Ill take what remains of me  Chorus  I know that Ill never be the man that you need or love Yeah baby its killin me to stand here and see Im not what youve been dreamin of  Chorus  Oh oh if love is really forever Im a winner at a losin game Oh Im tired of losing Oh oh oh,country,2008,22
Kenny Chesney,Better As A Memory,I move on like a sinners prayer Letting go like a levee breaks Walk away as if I dont care Learn to shoulder my mistakes Im built to fade like your favorite song Gettin reckless when theres no need Laugh as your stories ramble on Break my heart but it wont bleed My only friends are pirates Thats just who I am Im better as a memory than as your man  Never sure when the truth wont do Im pretty good on a lonely night I move on the way a storm blows through I never stay but then again I might I struggle sometimes to find the words Always sure until I doubt Walk a line until it blurs Build walls too high to climb out But Im honest to a fault Thats just who I am Im better as a memory than as your man  I see you leaning youre bound to fall I dont want to be that mistake Im just a dreamer and nothing more You should know it before it gets too late  Cause goodbyes are like a roulette wheel You never know where theyre gonna land First youre spinning then youre standing still Left holding a losing hand But one day youre gonna find someone And right away youll know its true That all of your seekings done It was just a part of the passing through Right there in that moment youll finally understand That I was better as a memory than as your man Better as a memory than as your man,country,2008,23
Carrie Underwood,All-American Girl,Since the day they got married Hed been praying for a little baby boy Someone he could take fishing Throw the football and be his pride and joy  He could already see him holding that trophy Taking his team to state But when the nurse came in with a little pink blanket All those big dreams changed  And now hes wrapped around her finger Shes the center of his whole world And his heart belongs to that sweet little beautiful wonderful perfect AllAmerican girl  Sixteen short years later She was falling for the senior football star Before he knew it he was dropping passes Skipping practice just to spend more time with her  The coach said Hey son whats your problem Tell me have you lost your mind Daddy said Youll lose your free ride to college Boy you better tell her goodbye  But now hes wrapped around her finger Shes the center of his whole world And his heart belongs to that sweet little beautiful wonderful perfect AllAmerican  And when they got married and decided to have one of their own She said Be honest tell me what you want And he said Honey you ought to know  A sweet little beautiful one justa like you I want a beautiful wonderful perfect allAmerican  Now hes wrapped around her finger Shes the center of his whole world And his heart belongs to that sweet little beautiful wonderful perfect AllAmerican girl  AllAmerican girl,country,2008,24
Brad Paisley,Letter To Me,If I could write a letter to me And send it back in time to myself at 17 First Id prove its me by saying Look under your bed Theres a Skoal can and a Playboy no one else would know you hid  And then Id say I know its tough When you break up after seven months And yeah I know you really liked her and it just dont seem fair But all I can say is pain like that is fast and its rare  And oh youve got so much going for you going right But I know at 17 its hard to see past Friday night She wasnt right for you And still you feel like theres a knife Sticking out of your back And youre wondering if youll survive But youll make it through this and youll see Youre still around to write this letter to me  At the stop sign at Tomlinson and Eighth Always stop completely dont just tap your brakes And when you get a date with Bridgett make sure the tank is full On second thought forget it That one turns out kinda cool  Each and every time you have a fight Just assume youre wrong and dad is right And you should really thank Mrs Brinkman She spends so much extra time Its like she sees the diamond underneath And shes polishing you til you shine  And oh youve got so much going for you going right But I know at 17 its hard to see past Friday night Tonights the bonfire rally But youre staying home instead Because if you fail Algebra Mom and dadll kill you dead But trust me youll squeak by and get a C And youre still around to write this letter to me  Youve got so much up ahead Youll make new friends You should see your kids and wife And Id end by saying have no fear These are nowhere near the best years of your life  I guess Ill see you in the mirror When youre a grown man PS Go hug Aunt Rita every chance you can  And oh youve got so much going for you going right But I know at 17 its hard to see past Friday night I wish youd study Spanish I wish youd take a typing class I wish you wouldnt worry let it be Id say have a little faith and youll see  If I could write a letter to me To me,country,2008,25
Gary Allan,Watching Airplanes,Sittin Out here on the hood of this truck looking up  At a caramel colored sunset sky  Checkin my watch doin the math in my head  Counting back words to when you said goodbye  Well those runway lights are gettin brighter   Im just sittin out here watching airplanes  Take off and fly  Tryin to figure out which one you might be on  And why you dont love me anymore  Right now im sittin out here watching airplanes   I wouldve lied couldve cried shouldve tried harder  Done anything to make you stay  I wonder what youd do if you looked out your window  Saw me runnin down the runway just like i was crazy  That fence is too high so am i   So Im just sittin out here watching airplanes  Take off and fly  Tryin to figure out which one you might be on  And why you dont love me anymore  By now i know youre thirty thousand feet above me  But a million miles away a million miles away  By now i know i outta act like you dont love me   But im just sittin out here watching airplanes  Take off and fly  Im just sittin out here watching airplanes  Take off and fly  Tryin to figure out which one you might be on  And why you dont love me anymore   Yeah im just sittin out here watching airplanes  Go by by by  Im just sittin out here watching airplanes  Baby bye bye bye,country,2008,26
Carrie Underwood,Last Name,Last night I got served a little bit too much of that poison baby Last night I did things Im not proud of And I got a little crazy Last night I met a guy on the dance floor and I let him call me Baby  And I dont even know his last name My momma would be so ashamed It started off Hey cutie where you from And then it turned into Oh no What have I done And I dont even know his last name  We left the club right bout around 3 oclock in the morning His Pinto sitting there in the parking lot well it should have been a warning I had no clue what I was getting into So Ill blame it on the Cuervo Oh where did my manners go  I dont even know his last name Oh my momma would be so ashamed It started off Hey cutie where you from And then it turned into Oh no What have I done And I dont even know his last name  Here we go  Today I woke up thinking about Elvis somewhere in Vegas Im not sure how I got here Or how this ring on my left hand just appeared outta nowhere I gotta go take the chips and the Pinto and hit the road They say What happens here stays here all of this will disappear  Theres just one little problem  I dont even know my last name Oh my momma would be so ashamed It started off Hey cutie where you from And then it turned into Oh no What have I done And I dont even know my last name  What have I done What have I done What have I done  Oh what have I done I dont even know my last name  Well it turned into Oh no What have I done And I dont even know my last name  It started off Hey cutie where you from And then it turned into Oh no What have I done And I dont even know my last name,country,2008,27
Sugarland,All I Want To Do,I dont want to get up baby lets turn off the phone I dont want to go to work today or even put my makeup on I got better things to do on my todo list anyway Hide under the covers and waste away the day  Lets just lay here and be lazy baby drive me crazy All I want to do All I want to do is love you  I got my whole life to change the world and climb ladders Looking at you looking at me is the only thing that matters Come a little closer baby we can talk without words Hang a sign on the door Please do not disturb  Chorus  Give me a kiss from that Elvis lip You dont want to miss this  All I want to do All I want to do is love you  All I really want to do is All I really want to do is All I really want to do is love you and love you and love you  Come a little closer baby we can talk without words Hang a sign on the door Please do not please do not please do not please do not disturb  When I lay down in the evening All I really want to do is When I wake up when I wake up in the morning baby All I really want to do is  Ooo Ooo,country,2008,28
